Denominazione Corpo Idrico;Codice Europeo Corpo Idrico; Codice Regionale Stazione;Tipologia Corpo Idrico;Tipologia Monitoraggio;Stato/Potenziale Ecologico triennio 2021-2023;Stato Chimico triennio 2021-2023
Fosso Incastri (Rio Grande) 2;IT12R12INC_INCASTRI2_14SS2T;F4.25;Naturale;Operativo;Scarso;Buono
Fosso Lenta 2;IT12R12MIG_LENTA2_14SS2T;F4.89;Naturale;Operativo;Scarso;Buono
Fosso Malafede 1;IT12N010_MALAFEDE1_14SS1T;F4.80;Naturale;Operativo;Cattivo;Non Buono
Fosso Passerano 2;IT12N010_PASSERANO2_14SS2T;F4.90;Naturale;Operativo;Sufficiente;Buono
Fosso Rio Filetto 2;IT12N010_RIOFILETTO2_14SS2T;F5.76;Naturale;Operativo;Sufficiente;Buono
Fosso Sanguinara 1;IT12R12MIG-ARS_SANGUIN1_14IN7T;F4.65;Naturale;Operativo;Sufficiente;Buono
Fosso Savo (Centogocce) 2;IT12N005_SAVO2_14SS2T;F4.16;Naturale;Operativo;Cattivo;Buono
Fosso Spaccasassi 2;IT12R12MOS_SPACCAS2_14SS2T;F2.72;Naturale;Operativo;Scarso;Non Buono
Fosso Spaccasassi 3;IT12R12MOS_SPACCAS3_15SS2F;F2.10;Artificiale;Operativo;Sufficiente;Non Buono
Fosso Tre Denari 2;IT12R12MIG-ARS_TREDENARI2_14SS2T;F4.31;Fortemente Modificato;Operativo;Scarso;Buono
Fosso Vaccina 2;IT12R12MIG-ARS_VACCINA2_14SS2T;F4.22;Fortemente Modificato;Operativo;Scarso;Buono
Fosso Verginese 2;IT12R12MIG_VERGINESE2_14SS2T;F4.92;Naturale;Operativo;Buono;Buono
Rio Fiume 1;IT12R12MIG-ARS_RIOFIUME1_14IN7T;F4.66;Naturale;Operativo;Sufficiente;Buono
Rio Torto 1;IT12N010_RIOTORTO1_14IN7T;F4.67;Naturale;Operativo;in secca;in secca
Rio Torto 2;IT12N010_RIOTORTO2_14SS2T;F4.93;Fortemente Modificato;Operativo;Sufficiente;Buono
Rio Valchetta (Cremera) 2;IT12N010_VALCHETTA2_14SS2T;F4.95;Naturale;Operativo;Scarso;Buono
